section,department,agency,subagency_name,subagency_acronym,acronyms_mentioned,agencies_mentioned,racialized_terms,text
DOD,DEPARTMENT OF DEFENSE,DOD,DEPARTMENT OF DEFENSE,DOD,NULL,NULL,"c(""race"", ""ethnicity"")","or suffering from gender dysphoria) should be removed, and those with gender dysphoria should be expelled from military service. Physical fitness requirements should be based on the occupational field without consideration of gender, race, ethnicity, or orientation."
DOD,DEPARTMENT OF DEFENSE,DOD,DEPARTMENT OF DEFENSE,DOD,NULL,NULL,"c(""race"", ""ethnicity"")","or suffering from gender dysphoria) should be removed, and those with gender dysphoria should be expelled from military service. Physical fitness requirements should be based on the occupational field without consideration of gender, race, ethnicity, or orientation."
DOD,DEPARTMENT OF DEFENSE,DOD,DEPARTMENT OF DEFENSE,DOD,NULL,NULL,"c(""race"", ""diversity"", ""equity"", ""inclusion"")","4. Eliminate Marxist indoctrination and divisive critical race theory programs and abolish newly established diversity, equity, and inclusion offices and staff."
DOD,DEPARTMENT OF DEFENSE,DOD,DEPARTMENT OF DEFENSE,DOD,NULL,NULL,"c(""race"", ""diversity"", ""equity"", ""inclusion"")","4. Eliminate Marxist indoctrination and divisive critical race theory programs and abolish newly established diversity, equity, and inclusion offices and staff."
DOD,DEPARTMENT OF DEFENSE,DOD,DEPARTMENT OF DEFENSE,DOD,NULL,NULL,"c(""race"", ""diversity"", ""equity"", ""inclusion"")","4. Eliminate Marxist indoctrination and divisive critical race theory programs and abolish newly established diversity, equity, and inclusion offices and staff."
DOD,DEPARTMENT OF DEFENSE,DOD,DEPARTMENT OF DEFENSE,DOD,NULL,NULL,"c(""race"", ""diversity"", ""equity"", ""inclusion"")","4. Eliminate Marxist indoctrination and divisive critical race theory programs and abolish newly established diversity, equity, and inclusion offices and staff."
DOD,DEPARTMENT OF DEFENSE,DOD,DEPARTMENT OF DEFENSE,DOD,NULL,NULL,"c(""race"", ""diversity"", ""equity"", ""inclusion"")","4. Eliminate Marxist indoctrination and divisive critical race theory programs and abolish newly established diversity, equity, and inclusion offices and staff."
DOD,DEPARTMENT OF DEFENSE,DOD,DEPARTMENT OF DEFENSE,DOD,NULL,NULL,"c(""diversity"", ""equity"", ""inclusion"")","All of these challenges are set against the backdrop of a complex and dynamic global geopolitical environment that is exemplified and exacerbated by the triumph of our adversaries in Afghanistan after a 20-year struggle there as well as recent Russian outrages in the Ukraine and China’s bellicosity both on its borders and in surrounding disputed regions. In spite of these ever-increasing operational pulls, our Army is consistently being asked to do more with fewer resources. The status quo is further marked by a pervasive politically driven top-down focus on progressive social policies that emphasize matters like so-called diversity, equity, and inclusion and climate change, often to the detriment of the Army’s core warfighting mission."
DOD,DEPARTMENT OF DEFENSE,DOD,DEPARTMENT OF DEFENSE,DOD,NULL,NULL,"c(""diversity"", ""equity"", ""inclusion"")","All of these challenges are set against the backdrop of a complex and dynamic global geopolitical environment that is exemplified and exacerbated by the triumph of our adversaries in Afghanistan after a 20-year struggle there as well as recent Russian outrages in the Ukraine and China’s bellicosity both on its borders and in surrounding disputed regions. In spite of these ever-increasing operational pulls, our Army is consistently being asked to do more with fewer resources. The status quo is further marked by a pervasive politically driven top-down focus on progressive social policies that emphasize matters like so-called diversity, equity, and inclusion and climate change, often to the detriment of the Army’s core warfighting mission."
DOD,DEPARTMENT OF DEFENSE,DOD,DEPARTMENT OF DEFENSE,DOD,NULL,NULL,"c(""diversity"", ""equity"", ""inclusion"")","All of these challenges are set against the backdrop of a complex and dynamic global geopolitical environment that is exemplified and exacerbated by the triumph of our adversaries in Afghanistan after a 20-year struggle there as well as recent Russian outrages in the Ukraine and China’s bellicosity both on its borders and in surrounding disputed regions. In spite of these ever-increasing operational pulls, our Army is consistently being asked to do more with fewer resources. The status quo is further marked by a pervasive politically driven top-down focus on progressive social policies that emphasize matters like so-called diversity, equity, and inclusion and climate change, often to the detriment of the Army’s core warfighting mission."
DOD,DEPARTMENT OF DEFENSE,DOD,DEPARTMENT OF DEFENSE,DOD,NULL,NULL,"c(""diversity"", ""equity"", ""inclusion"")","All of these challenges are set against the backdrop of a complex and dynamic global geopolitical environment that is exemplified and exacerbated by the triumph of our adversaries in Afghanistan after a 20-year struggle there as well as recent Russian outrages in the Ukraine and China’s bellicosity both on its borders and in surrounding disputed regions. In spite of these ever-increasing operational pulls, our Army is consistently being asked to do more with fewer resources. The status quo is further marked by a pervasive politically driven top-down focus on progressive social policies that emphasize matters like so-called diversity, equity, and inclusion and climate change, often to the detriment of the Army’s core warfighting mission."
DOD,DEPARTMENT OF DEFENSE,DOD,DEPARTMENT OF DEFENSE,DOD,NULL,NULL,"c(""diversity"", ""equity"", ""inclusion"")","All of these challenges are set against the backdrop of a complex and dynamic global geopolitical environment that is exemplified and exacerbated by the triumph of our adversaries in Afghanistan after a 20-year struggle there as well as recent Russian outrages in the Ukraine and China’s bellicosity both on its borders and in surrounding disputed regions. In spite of these ever-increasing operational pulls, our Army is consistently being asked to do more with fewer resources. The status quo is further marked by a pervasive politically driven top-down focus on progressive social policies that emphasize matters like so-called diversity, equity, and inclusion and climate change, often to the detriment of the Army’s core warfighting mission."
DEPARTMENT OF HOMELAND SECURITY,DEPARTMENT OF HOMELAND SECURITY,DHS,DEPARTMENT OF HOMELAND SECURITY,DHS,ICE,ICE,"c(""immigration"", ""citizenship"")",Immigration and Customs Enforcement (ICE); U.S. Citizenship
DEPARTMENT OF HOMELAND SECURITY,DEPARTMENT OF HOMELAND SECURITY,DHS,DEPARTMENT OF HOMELAND SECURITY,DHS,ICE,ICE,"c(""immigration"", ""citizenship"")",Immigration and Customs Enforcement (ICE); U.S. Citizenship
DEPARTMENT OF HOMELAND SECURITY,DEPARTMENT OF HOMELAND SECURITY,DHS,DEPARTMENT OF HOMELAND SECURITY,DHS,ICE,ICE,"c(""immigration"", ""citizenship"")",Immigration and Customs Enforcement (ICE); U.S. Citizenship
DEPARTMENT OF HOMELAND SECURITY,DEPARTMENT OF HOMELAND SECURITY,DHS,DEPARTMENT OF HOMELAND SECURITY,DHS,ICE,ICE,"c(""immigration"", ""citizenship"")",Immigration and Customs Enforcement (ICE); U.S. Citizenship
DEPARTMENT OF HOMELAND SECURITY,DEPARTMENT OF HOMELAND SECURITY,DHS,DEPARTMENT OF HOMELAND SECURITY,DHS,ICE,ICE,"c(""immigration"", ""citizenship"")",Immigration and Customs Enforcement (ICE); U.S. Citizenship
DEPARTMENT OF HOMELAND SECURITY,DEPARTMENT OF HOMELAND SECURITY,DHS,DEPARTMENT OF HOMELAND SECURITY,DHS,ICE,ICE,"c(""immigration"", ""citizenship"")",Immigration and Customs Enforcement (ICE); U.S. Citizenship
DEPARTMENT OF HOMELAND SECURITY,DEPARTMENT OF HOMELAND SECURITY,DHS,DEPARTMENT OF HOMELAND SECURITY,DHS,"c(""USCIS"", ""HHS"", ""ORR"", ""DOJ"")","c(""USCIS"", ""HHS"", ""ORR"", ""DOJ"")",immigration,and Immigration Services (USCIS); the Department of Health and Human Services (HHS) Office of Refugee Resettlement (ORR); and the Department of Justice (DOJ) Executive Office for Immigration
DEPARTMENT OF HOMELAND SECURITY,DEPARTMENT OF HOMELAND SECURITY,DHS,DEPARTMENT OF HOMELAND SECURITY,DHS,"c(""USCIS"", ""HHS"", ""ORR"", ""DOJ"")","c(""USCIS"", ""HHS"", ""ORR"", ""DOJ"")",immigration,and Immigration Services (USCIS); the Department of Health and Human Services (HHS) Office of Refugee Resettlement (ORR); and the Department of Justice (DOJ) Executive Office for Immigration
DEPARTMENT OF HOMELAND SECURITY,DEPARTMENT OF HOMELAND SECURITY,DHS,DEPARTMENT OF HOMELAND SECURITY,DHS,"c(""USCIS"", ""HHS"", ""ORR"", ""DOJ"")","c(""USCIS"", ""HHS"", ""ORR"", ""DOJ"")",immigration,and Immigration Services (USCIS); the Department of Health and Human Services (HHS) Office of Refugee Resettlement (ORR); and the Department of Justice (DOJ) Executive Office for Immigration
DEPARTMENT OF HOMELAND SECURITY,DEPARTMENT OF HOMELAND SECURITY,DHS,DEPARTMENT OF HOMELAND SECURITY,DHS,"c(""USCIS"", ""HHS"", ""ORR"", ""DOJ"")","c(""USCIS"", ""HHS"", ""ORR"", ""DOJ"")",immigration,and Immigration Services (USCIS); the Department of Health and Human Services (HHS) Office of Refugee Resettlement (ORR); and the Department of Justice (DOJ) Executive Office for Immigration
DEPARTMENT OF HOMELAND SECURITY,DEPARTMENT OF HOMELAND SECURITY,DHS,DEPARTMENT OF HOMELAND SECURITY,DHS,"c(""USCIS"", ""HHS"", ""ORR"", ""DOJ"")","c(""USCIS"", ""HHS"", ""ORR"", ""DOJ"")",immigration,and Immigration Services (USCIS); the Department of Health and Human Services (HHS) Office of Refugee Resettlement (ORR); and the Department of Justice (DOJ) Executive Office for Immigration
DEPARTMENT OF HOMELAND SECURITY,DEPARTMENT OF HOMELAND SECURITY,DHS,DEPARTMENT OF HOMELAND SECURITY,DHS,"c(""USCIS"", ""HHS"", ""ORR"", ""DOJ"")","c(""USCIS"", ""HHS"", ""ORR"", ""DOJ"")",immigration,and Immigration Services (USCIS); the Department of Health and Human Services (HHS) Office of Refugee Resettlement (ORR); and the Department of Justice (DOJ) Executive Office for Immigration
DEPARTMENT OF HOMELAND SECURITY,DEPARTMENT OF HOMELAND SECURITY,DHS,DEPARTMENT OF HOMELAND SECURITY,DHS,EOIR,NULL,immigration,Review (EOIR) and Office of Immigration Litigation (OIL) into a standalone border and immigration agency at the Cabinet level (more than
DEPARTMENT OF HOMELAND SECURITY,DEPARTMENT OF HOMELAND SECURITY,DHS,DEPARTMENT OF HOMELAND SECURITY,DHS,EOIR,NULL,immigration,Review (EOIR) and Office of Immigration Litigation (OIL) into a standalone border and immigration agency at the Cabinet level (more than
DEPARTMENT OF HOMELAND SECURITY,DEPARTMENT OF HOMELAND SECURITY,DHS,DEPARTMENT OF HOMELAND SECURITY,DHS,EOIR,NULL,immigration,Review (EOIR) and Office of Immigration Litigation (OIL) into a standalone border and immigration agency at the Cabinet level (more than
DEPARTMENT OF HOMELAND SECURITY,DEPARTMENT OF HOMELAND SECURITY,DHS,DEPARTMENT OF HOMELAND SECURITY,DHS,EOIR,NULL,immigration,Review (EOIR) and Office of Immigration Litigation (OIL) into a standalone border and immigration agency at the Cabinet level (more than
DEPARTMENT OF HOMELAND SECURITY,DEPARTMENT OF HOMELAND SECURITY,DHS,DEPARTMENT OF HOMELAND SECURITY,DHS,EOIR,NULL,immigration,Review (EOIR) and Office of Immigration Litigation (OIL) into a standalone border and immigration agency at the Cabinet level (more than
DEPARTMENT OF HOMELAND SECURITY,DEPARTMENT OF HOMELAND SECURITY,DHS,DEPARTMENT OF HOMELAND SECURITY,DHS,EOIR,NULL,immigration,Review (EOIR) and Office of Immigration Litigation (OIL) into a standalone border and immigration agency at the Cabinet level (more than
DEPARTMENT OF HOMELAND SECURITY,DEPARTMENT OF HOMELAND SECURITY,DHS,DEPARTMENT OF HOMELAND SECURITY,DHS,NULL,NULL,immigration,"deportation, is critical if we are to regain control of the border, repair the historic damage done by the Biden Administration, return to a lawful and orderly immigration system, and protect the homeland from terrorism and public safety threats. This also includes consolidating the pieces of the fragmented immigration system into one agency to fulfill the mission more efficiently."
DEPARTMENT OF HOMELAND SECURITY,DEPARTMENT OF HOMELAND SECURITY,DHS,DEPARTMENT OF HOMELAND SECURITY,DHS,NULL,NULL,immigration,"deportation, is critical if we are to regain control of the border, repair the historic damage done by the Biden Administration, return to a lawful and orderly immigration system, and protect the homeland from terrorism and public safety threats. This also includes consolidating the pieces of the fragmented immigration system into one agency to fulfill the mission more efficiently."
DEPARTMENT OF HOMELAND SECURITY,DEPARTMENT OF HOMELAND SECURITY,DHS,DEPARTMENT OF HOMELAND SECURITY,DHS,NULL,NULL,immigration,"deportation, is critical if we are to regain control of the border, repair the historic damage done by the Biden Administration, return to a lawful and orderly immigration system, and protect the homeland from terrorism and public safety threats. This also includes consolidating the pieces of the fragmented immigration system into one agency to fulfill the mission more efficiently."
DEPARTMENT OF HOMELAND SECURITY,DEPARTMENT OF HOMELAND SECURITY,DHS,DEPARTMENT OF HOMELAND SECURITY,DHS,NULL,NULL,immigration,"deportation, is critical if we are to regain control of the border, repair the historic damage done by the Biden Administration, return to a lawful and orderly immigration system, and protect the homeland from terrorism and public safety threats. This also includes consolidating the pieces of the fragmented immigration system into one agency to fulfill the mission more efficiently."
DEPARTMENT OF HOMELAND SECURITY,DEPARTMENT OF HOMELAND SECURITY,DHS,DEPARTMENT OF HOMELAND SECURITY,DHS,NULL,NULL,immigration,"deportation, is critical if we are to regain control of the border, repair the historic damage done by the Biden Administration, return to a lawful and orderly immigration system, and protect the homeland from terrorism and public safety threats. This also includes consolidating the pieces of the fragmented immigration system into one agency to fulfill the mission more efficiently."
DEPARTMENT OF HOMELAND SECURITY,DEPARTMENT OF HOMELAND SECURITY,DHS,DEPARTMENT OF HOMELAND SECURITY,DHS,NULL,NULL,immigration,"deportation, is critical if we are to regain control of the border, repair the historic damage done by the Biden Administration, return to a lawful and orderly immigration system, and protect the homeland from terrorism and public safety threats. This also includes consolidating the pieces of the fragmented immigration system into one agency to fulfill the mission more efficiently."
DEPARTMENT OF HOMELAND SECURITY,DEPARTMENT OF HOMELAND SECURITY,DHS,DEPARTMENT OF HOMELAND SECURITY,DHS,NULL,NULL,immigration,"* Certification by applicants that they comply with all aspects of federal immigration laws, including the honoring of all immigration detainers."
DEPARTMENT OF HOMELAND SECURITY,DEPARTMENT OF HOMELAND SECURITY,DHS,DEPARTMENT OF HOMELAND SECURITY,DHS,NULL,NULL,immigration,"* Certification by applicants that they comply with all aspects of federal immigration laws, including the honoring of all immigration detainers."
DEPARTMENT OF HOMELAND SECURITY,DEPARTMENT OF HOMELAND SECURITY,DHS,DEPARTMENT OF HOMELAND SECURITY,DHS,NULL,NULL,immigration,"* Certification by applicants that they comply with all aspects of federal immigration laws, including the honoring of all immigration detainers."
DEPARTMENT OF HOMELAND SECURITY,DEPARTMENT OF HOMELAND SECURITY,DHS,DEPARTMENT OF HOMELAND SECURITY,DHS,NULL,NULL,immigration,"* Certification by applicants that they comply with all aspects of federal immigration laws, including the honoring of all immigration detainers."
DEPARTMENT OF HOMELAND SECURITY,DEPARTMENT OF HOMELAND SECURITY,DHS,DEPARTMENT OF HOMELAND SECURITY,DHS,NULL,NULL,immigration,"* Certification by applicants that they comply with all aspects of federal immigration laws, including the honoring of all immigration detainers."
DEPARTMENT OF HOMELAND SECURITY,DEPARTMENT OF HOMELAND SECURITY,DHS,DEPARTMENT OF HOMELAND SECURITY,DHS,NULL,NULL,immigration,"* Certification by applicants that they comply with all aspects of federal immigration laws, including the honoring of all immigration detainers."
DEPARTMENT OF HOMELAND SECURITY,DEPARTMENT OF HOMELAND SECURITY,DHS,DEPARTMENT OF HOMELAND SECURITY,DHS,"c(""USCIS"", ""ORR"", ""ICE"", ""CBP"", ""BSIA"")","c(""USCIS"", ""ORR"", ""ICE"", ""CBP"")",immigration,"If all immigration agencies are not merged, including USCIS and ORR, then an appropriate third alternative would be to consolidate ICE and CBP to form a combined Border Security and Immigration Agency (BSIA). This would integrate critical interdiction, enforcement, and investigative resources, enhancing coordination and refocusing collective efforts on the vast and complex cross-border threats impacting our nation’s health, safety, and national security. It would"
DEPARTMENT OF HOMELAND SECURITY,DEPARTMENT OF HOMELAND SECURITY,DHS,DEPARTMENT OF HOMELAND SECURITY,DHS,"c(""USCIS"", ""ORR"", ""ICE"", ""CBP"", ""BSIA"")","c(""USCIS"", ""ORR"", ""ICE"", ""CBP"")",immigration,"If all immigration agencies are not merged, including USCIS and ORR, then an appropriate third alternative would be to consolidate ICE and CBP to form a combined Border Security and Immigration Agency (BSIA). This would integrate critical interdiction, enforcement, and investigative resources, enhancing coordination and refocusing collective efforts on the vast and complex cross-border threats impacting our nation’s health, safety, and national security. It would"
DEPARTMENT OF HOMELAND SECURITY,DEPARTMENT OF HOMELAND SECURITY,DHS,DEPARTMENT OF HOMELAND SECURITY,DHS,"c(""USCIS"", ""ORR"", ""ICE"", ""CBP"", ""BSIA"")","c(""USCIS"", ""ORR"", ""ICE"", ""CBP"")",immigration,"If all immigration agencies are not merged, including USCIS and ORR, then an appropriate third alternative would be to consolidate ICE and CBP to form a combined Border Security and Immigration Agency (BSIA). This would integrate critical interdiction, enforcement, and investigative resources, enhancing coordination and refocusing collective efforts on the vast and complex cross-border threats impacting our nation’s health, safety, and national security. It would"
DEPARTMENT OF HOMELAND SECURITY,DEPARTMENT OF HOMELAND SECURITY,DHS,DEPARTMENT OF HOMELAND SECURITY,DHS,"c(""USCIS"", ""ORR"", ""ICE"", ""CBP"", ""BSIA"")","c(""USCIS"", ""ORR"", ""ICE"", ""CBP"")",immigration,"If all immigration agencies are not merged, including USCIS and ORR, then an appropriate third alternative would be to consolidate ICE and CBP to form a combined Border Security and Immigration Agency (BSIA). This would integrate critical interdiction, enforcement, and investigative resources, enhancing coordination and refocusing collective efforts on the vast and complex cross-border threats impacting our nation’s health, safety, and national security. It would"
DEPARTMENT OF HOMELAND SECURITY,DEPARTMENT OF HOMELAND SECURITY,DHS,DEPARTMENT OF HOMELAND SECURITY,DHS,"c(""USCIS"", ""ORR"", ""ICE"", ""CBP"", ""BSIA"")","c(""USCIS"", ""ORR"", ""ICE"", ""CBP"")",immigration,"If all immigration agencies are not merged, including USCIS and ORR, then an appropriate third alternative would be to consolidate ICE and CBP to form a combined Border Security and Immigration Agency (BSIA). This would integrate critical interdiction, enforcement, and investigative resources, enhancing coordination and refocusing collective efforts on the vast and complex cross-border threats impacting our nation’s health, safety, and national security. It would"
DEPARTMENT OF HOMELAND SECURITY,DEPARTMENT OF HOMELAND SECURITY,DHS,DEPARTMENT OF HOMELAND SECURITY,DHS,"c(""USCIS"", ""ORR"", ""ICE"", ""CBP"", ""BSIA"")","c(""USCIS"", ""ORR"", ""ICE"", ""CBP"")",immigration,"If all immigration agencies are not merged, including USCIS and ORR, then an appropriate third alternative would be to consolidate ICE and CBP to form a combined Border Security and Immigration Agency (BSIA). This would integrate critical interdiction, enforcement, and investigative resources, enhancing coordination and refocusing collective efforts on the vast and complex cross-border threats impacting our nation’s health, safety, and national security. It would"
CBP,DEPARTMENT OF HOMELAND SECURITY,DHS,CUSTOMS AND BORDER PROTECTION,CBP,"c(""ICE"", ""INA"")",ICE,immigration,* Order ICE to stop closing out pending immigration cases and apply the Immigration and Nationality Act (INA) as written by Congress.3 The Biden Administration closed out tens of thousands of immigration cases that had already been prepared and were slated for expedited removal processing or hearings before the U.S. Immigration Court. This misguided action constituted an egregious example of lawlessness that allowed thousands of illegal aliens and other immigration violators to go free in the United States.
CBP,DEPARTMENT OF HOMELAND SECURITY,DHS,CUSTOMS AND BORDER PROTECTION,CBP,"c(""ICE"", ""INA"")",ICE,immigration,* Order ICE to stop closing out pending immigration cases and apply the Immigration and Nationality Act (INA) as written by Congress.3 The Biden Administration closed out tens of thousands of immigration cases that had already been prepared and were slated for expedited removal processing or hearings before the U.S. Immigration Court. This misguided action constituted an egregious example of lawlessness that allowed thousands of illegal aliens and other immigration violators to go free in the United States.
CBP,DEPARTMENT OF HOMELAND SECURITY,DHS,CUSTOMS AND BORDER PROTECTION,CBP,"c(""ICE"", ""INA"")",ICE,immigration,* Order ICE to stop closing out pending immigration cases and apply the Immigration and Nationality Act (INA) as written by Congress.3 The Biden Administration closed out tens of thousands of immigration cases that had already been prepared and were slated for expedited removal processing or hearings before the U.S. Immigration Court. This misguided action constituted an egregious example of lawlessness that allowed thousands of illegal aliens and other immigration violators to go free in the United States.
CBP,DEPARTMENT OF HOMELAND SECURITY,DHS,CUSTOMS AND BORDER PROTECTION,CBP,"c(""ICE"", ""ERO"", ""INA"")",ICE,immigration,"* The role of ICE Deportation Officers should be clarified. ICE Enforcement and Removal Operations (ERO) should be identified as being primarily responsible for enforcing civil immigration regulations, including the civil arrest, detention, and removal of immigration violators anywhere in the United States, without warrant where appropriate, subject only to the civil warrant requirements of the INA where appropriate."
CBP,DEPARTMENT OF HOMELAND SECURITY,DHS,CUSTOMS AND BORDER PROTECTION,CBP,"c(""ICE"", ""ERO"", ""INA"")",ICE,immigration,"* The role of ICE Deportation Officers should be clarified. ICE Enforcement and Removal Operations (ERO) should be identified as being primarily responsible for enforcing civil immigration regulations, including the civil arrest, detention, and removal of immigration violators anywhere in the United States, without warrant where appropriate, subject only to the civil warrant requirements of the INA where appropriate."
CBP,DEPARTMENT OF HOMELAND SECURITY,DHS,CUSTOMS AND BORDER PROTECTION,CBP,"c(""ICE"", ""ERO"", ""INA"")",ICE,immigration,"* The role of ICE Deportation Officers should be clarified. ICE Enforcement and Removal Operations (ERO) should be identified as being primarily responsible for enforcing civil immigration regulations, including the civil arrest, detention, and removal of immigration violators anywhere in the United States, without warrant where appropriate, subject only to the civil warrant requirements of the INA where appropriate."
CBP,DEPARTMENT OF HOMELAND SECURITY,DHS,CUSTOMS AND BORDER PROTECTION,CBP,USCIS,USCIS,"c(""citizenship"", ""immigration"")",U.S. CITIZENSHIP AND IMMIGRATION SERVICES (USCIS)
CBP,DEPARTMENT OF HOMELAND SECURITY,DHS,CUSTOMS AND BORDER PROTECTION,CBP,USCIS,USCIS,"c(""citizenship"", ""immigration"")",U.S. CITIZENSHIP AND IMMIGRATION SERVICES (USCIS)
CBP,DEPARTMENT OF HOMELAND SECURITY,DHS,CUSTOMS AND BORDER PROTECTION,CBP,USCIS,USCIS,"c(""citizenship"", ""immigration"")",U.S. CITIZENSHIP AND IMMIGRATION SERVICES (USCIS)
CBP,DEPARTMENT OF HOMELAND SECURITY,DHS,CUSTOMS AND BORDER PROTECTION,CBP,USCIS,USCIS,"c(""citizenship"", ""immigration"")",U.S. Citizenship and Immigration Services (USCIS) is the agency tasked with administering the legal immigration and certain temporary visa programs.
CBP,DEPARTMENT OF HOMELAND SECURITY,DHS,CUSTOMS AND BORDER PROTECTION,CBP,USCIS,USCIS,"c(""citizenship"", ""immigration"")",U.S. Citizenship and Immigration Services (USCIS) is the agency tasked with administering the legal immigration and certain temporary visa programs.
CBP,DEPARTMENT OF HOMELAND SECURITY,DHS,CUSTOMS AND BORDER PROTECTION,CBP,USCIS,USCIS,"c(""citizenship"", ""immigration"")",U.S. Citizenship and Immigration Services (USCIS) is the agency tasked with administering the legal immigration and certain temporary visa programs.
CBP,DEPARTMENT OF HOMELAND SECURITY,DHS,CUSTOMS AND BORDER PROTECTION,CBP,USCIS,USCIS,"c(""immigration"", ""illegal immig"")","Since January 2021, USCIS’s priorities have been misaligned, and this has transformed it into an open-borders agency, ignoring the critical role that it plays in national security, public safety, and safeguarding the integrity of our immigration system. USCIS should be returned to operating as a screening and vetting agency. Regulatory efforts have focused on easing asylum eligibility in a manner that is guaranteed to exacerbate asylum fraud as people surge at the border. Emphasis also has been placed on removing legal barriers to immigration, such as the use of public benefits. These actions violate statutes, erode congressional intent, and provide a significant magnet for continued illegal immigration."
CBP,DEPARTMENT OF HOMELAND SECURITY,DHS,CUSTOMS AND BORDER PROTECTION,CBP,USCIS,USCIS,"c(""immigration"", ""illegal immig"")","Since January 2021, USCIS’s priorities have been misaligned, and this has transformed it into an open-borders agency, ignoring the critical role that it plays in national security, public safety, and safeguarding the integrity of our immigration system. USCIS should be returned to operating as a screening and vetting agency. Regulatory efforts have focused on easing asylum eligibility in a manner that is guaranteed to exacerbate asylum fraud as people surge at the border. Emphasis also has been placed on removing legal barriers to immigration, such as the use of public benefits. These actions violate statutes, erode congressional intent, and provide a significant magnet for continued illegal immigration."
